class_name,precision,recall,f1_score,support
CD,0.5606060606060606,0.2032967032967033,0.29838709677419356,182.0
CD+HYP,0.06976744186046512,0.1111111111111111,0.08571428571428572,27.0
CD+MI,0.4235294117647059,0.27906976744186046,0.3364485981308411,129.0
CD+NORM,0.07203389830508475,0.38636363636363635,0.12142857142857143,44.0
CD+STTC,0.175,0.3684210526315789,0.23728813559322035,38.0
HYP,0.13924050632911392,0.19642857142857142,0.16296296296296298,56.0
HYP+STTC,0.32941176470588235,0.3888888888888889,0.35668789808917195,72.0
MI,0.3894230769230769,0.3188976377952756,0.35064935064935066,254.0
MI+STTC,0.09876543209876543,0.13114754098360656,0.11267605633802817,61.0
NORM,0.7739816031537451,0.6508287292817679,0.7070828331332533,905.0
STTC,0.39436619718309857,0.4666666666666667,0.42748091603053434,240.0
