source,class_name,samples,mean_r_peaks,mean_rr_ms,mean_hr_bpm,rhythm_match_rate
Generated,CD,100,6.13,764.4614285714285,82.13143405195213,98.0
Generated,CD+HYP,54,5.87037037037037,781.0983245149912,78.85702289630144,94.44
Generated,CD+MI,100,5.86,787.5211904761906,79.37303681520137,99.0
Generated,CD+NORM,88,6.125,747.6747835497835,83.19254240529519,96.59
Generated,CD+STTC,76,5.7631578947368425,818.4453320802005,76.49631657443899,89.47
Generated,HYP,100,6.27,738.8771428571429,83.66257551259481,97.0
Generated,HYP+STTC,100,6.43,726.5127380952382,85.79595746149907,99.0
Generated,MI,100,5.97,765.7772619047619,82.05460934743877,98.0
Generated,MI+STTC,100,5.87,790.734365079365,80.03463242772415,90.0
Generated,NORM,100,6.21,764.8228571428571,81.67480716982912,88.0
Generated,STTC,100,6.08,749.8573809523809,83.14851457693585,96.0
Real,CD,100,6.01,827.3869025419025,77.54812774533707,93.0
Real,CD+HYP,54,5.944444444444445,804.2314814814815,77.39665451035337,92.59
Real,CD+MI,100,5.73,839.9342857142857,74.37370546662473,98.0
Real,CD+NORM,88,5.329545454545454,901.0175865800866,68.46206756434684,97.73
Real,CD+STTC,76,5.842105263157895,830.202850877193,75.77242372565625,90.79
Real,HYP,100,6.19,795.8009523809524,78.94332036636756,92.0
Real,HYP+STTC,100,5.88,867.7448484848485,75.64056906295278,92.0
Real,MI,100,5.61,866.8228571428571,72.61361710285391,94.0
Real,MI+STTC,100,6.46,755.6992532467532,84.11111911801741,87.0
Real,NORM,100,5.49,859.54,72.00545178113101,97.0
Real,STTC,100,5.88,827.863253968254,76.16624299938108,94.0
