class_name,precision,recall,f1_score,support
CD,0.36727272727272725,0.2774725274725275,0.3161189358372457,364.0
CD+HYP,0.05970149253731343,0.07407407407407407,0.06611570247933884,54.0
CD+MI,0.4,0.43410852713178294,0.4163568773234201,258.0
CD+NORM,0.19117647058823528,0.29545454545454547,0.23214285714285715,88.0
CD+STTC,0.20270270270270271,0.19736842105263158,0.2,76.0
HYP,0.09792284866468842,0.29464285714285715,0.14699331848552338,112.0
HYP+STTC,0.28994082840236685,0.3402777777777778,0.31309904153354634,144.0
MI,0.31865284974093266,0.2421259842519685,0.2751677852348993,508.0
MI+STTC,0.09859154929577464,0.28688524590163933,0.14675052410901468,122.0
NORM,0.7612732095490716,0.6342541436464089,0.6919831223628692,1810.0
STTC,0.40792540792540793,0.3645833333333333,0.385038503850385,480.0
