source,class_name,samples,mean_r_peaks,mean_rr_ms,mean_hr_bpm,rhythm_match_rate
Generated,CD,100,6.48,736.2535714285715,86.02513598041328,96.0
Generated,CD+HYP,54,6.407407407407407,730.4400352733687,85.49851841614881,83.33
Generated,CD+MI,100,6.66,695.2764285714286,88.71538194418554,100.0
Generated,CD+NORM,88,6.693181818181818,692.5085678210678,88.2187536851371,97.73
Generated,CD+STTC,76,6.671052631578948,697.3930137844611,89.0918845685363,97.37
Generated,HYP,100,7.07,660.9363095238094,92.81267162203032,88.0
Generated,HYP+STTC,100,6.86,688.9367063492064,89.98593968528927,98.0
Generated,MI,100,6.74,685.0827777777778,89.96854070702753,97.0
Generated,MI+STTC,100,6.69,689.8067857142856,89.17796538815938,84.0
Generated,NORM,100,7.16,653.8800396825397,94.20663722440948,67.0
Generated,STTC,100,6.95,670.3463492063493,91.91119341838086,96.0
Real,CD,100,6.01,827.3869025419025,77.54812774533707,93.0
Real,CD+HYP,54,5.944444444444445,804.2314814814815,77.39665451035337,92.59
Real,CD+MI,100,5.73,839.9342857142857,74.37370546662473,98.0
Real,CD+NORM,88,5.329545454545454,901.0175865800866,68.46206756434684,97.73
Real,CD+STTC,76,5.842105263157895,830.202850877193,75.77242372565625,90.79
Real,HYP,100,6.19,795.8009523809524,78.94332036636756,92.0
Real,HYP+STTC,100,5.88,867.7448484848485,75.64056906295278,92.0
Real,MI,100,5.61,866.8228571428571,72.61361710285391,94.0
Real,MI+STTC,100,6.46,755.6992532467532,84.11111911801741,87.0
Real,NORM,100,5.49,859.54,72.00545178113101,97.0
Real,STTC,100,5.88,827.863253968254,76.16624299938108,94.0
