class_id,class_name,hr_wasserstein_distance_bpm,r_peak_count_wasserstein_distance
0,CD,13.187850299702633,0.93
1,CD+HYP,8.430484620161588,0.4629629629629628
2,CD+MI,14.348514084398406,0.9299999999999999
3,CD+NORM,19.756686120790278,1.3636363636363638
4,CD+STTC,13.319460842880051,0.8289473684210527
5,HYP,14.240284395916978,0.9400000000000002
6,HYP+STTC,17.755154207301224,1.2799999999999998
7,MI,17.593916872442616,1.1700000000000002
8,MI+STTC,8.462745441270727,0.49
9,NORM,22.201185443278465,1.6700000000000002
10,STTC,16.764393946148633,1.19
